kod,filnamn,produkt,plats,status,visar
P-01-1,P-01-1-B0CFDPQXN4.webp,Anker MagGo Powerbank 10000 mAh,1,finns,"Anker MagGo powerbank i mörk finish, uppfälld på sitt inbyggda stativ"
P-01-2,P-01-2.webp,Anker MagGo Powerbank 10000 mAh,2,finns,"Anker MagGo powerbank stående upprätt, magnetsidan framåt"
P-01-3,P-01-3.webp,Anker MagGo Powerbank 10000 mAh,3,finns,Två magnetiska powerbanks hållna i handen bredvid varandra för storleksjämförelse
P-02-1,P-02-1-B0DMT6FMT7.webp,INIU Magnetisk Powerbank 10000 mAh,1,finns,"INIU magnetisk powerbank sedd uppifrån, baksidan uppåt"
P-02-2,P-02-2.webp,INIU Magnetisk Powerbank 10000 mAh,2,finns,INIU och en annan magnetisk powerbank hållna i handen bredvid varandra
P-02-3,P-02-3.jpg,INIU Magnetisk Powerbank 10000 mAh,3,ledig,
P-21-1,P-21-1-B0B3D9XW8X.webp,"UGREEN billaddare, 3 portar",1,finns,"UGREEN billaddare med portarna USB-C1, USB-A och USB-C2 och märkningen 100 W."
P-21-2,P-21-2.webp,"UGREEN billaddare, 3 portar",2,finns,Sidan av billaddaren med UGREEN-logotypen och ventilationsspåren.
P-21-3,P-21-3.jpg,"UGREEN billaddare, 3 portar",3,ledig,
P-03-1,P-03-1-B0DSPX4RQ5.webp,UGREEN Nexode Powerbank 25000 mAh 165 W,1,finns,"UGREEN Nexode powerbank 25000 mAh liggande, portsidan synlig"
P-03-2,P-03-2.webp,UGREEN Nexode Powerbank 25000 mAh 165 W,2,finns,UGREEN Nexode powerbank ansluten till en mobil router med kabel
P-03-3,P-03-3.jpg,UGREEN Nexode Powerbank 25000 mAh 165 W,3,ledig,
P-20-1,P-20-1-B0GV79Z1W6.webp,"UGREEN USB-C 240W / 40 Gbps, 1 m",1,finns,UGREEN USB-C-kabel hoprullad bredvid en telefon
P-20-2,P-20-2.webp,"UGREEN USB-C 240W / 40 Gbps, 1 m",2,finns,Kabelns kontakt med märkningen 40 Gbps och UGREEN-logotypen.
P-20-3,P-20-3.jpg,"UGREEN USB-C 240W / 40 Gbps, 1 m",3,ledig,
P-04-1,P-04-1-B0CH33F5P2.webp,UGREEN Zapix Magnetisk Powerbank 10000 mAh,1,finns,UGREEN Zapix magnetisk powerbank sedd uppifrån med magnetringen synlig
P-04-2,P-04-2.webp,UGREEN Zapix Magnetisk Powerbank 10000 mAh,2,finns,UGREEN Zapix magnetisk powerbank med USB-C-kabel ansluten
P-04-3,P-04-3.jpg,UGREEN Zapix Magnetisk Powerbank 10000 mAh,3,ledig,
P-05-1,P-05-1.jpg,Baseus MagPro magnetisk bilhållare,1,SAKNAS,
P-06-1,P-06-1.jpg,Cooper MagStand höjdjusterbart stativ,1,SAKNAS,
P-07-1,P-07-1.webp,Vikbart magnetiskt mobilstativ,1,finns,Vikbart magnetiskt mobilstativ uppfällt med tre ben
P-07-2,P-07-2.jpg,Vikbart magnetiskt mobilstativ,2,ledig,
P-08-1,P-08-1.jpg,"simarro självhäftande magnetringar, 10-pack",1,SAKNAS,
P-09-1,P-09-1.jpg,UGREEN MagFlow 2-i-1 magnetiskt laddställ,1,SAKNAS,
P-10-1,P-10-1.jpg,UGREEN MagSafe magnetställ för bord,1,SAKNAS,
P-11-1,P-11-1-B09LLRNGSD.webp,Anker 735 Nano II 65W,1,finns,"Anker 735 Nano II väggladdare med USB-A och USB-C, kabel ansluten"
P-11-2,P-11-2.jpg,Anker 735 Nano II 65W,2,ledig,
P-12-1,P-12-1.jpg,Anker Nano Reseadapter,1,SAKNAS,
P-13-1,P-13-1.jpg,Baseus USB-C-kabel med digital skärm 100W,1,SAKNAS,
P-14-1,P-14-1.webp,EasyAcc bordsfläkt 4000 mAh,1,finns,EasyAcc uppladdningsbar bordsfläkt i svart
P-14-2,P-14-2.jpg,EasyAcc bordsfläkt 4000 mAh,2,ledig,
P-15-1,P-15-1.jpg,"GIANAC USB-C till USB-C 100W, 3 m",1,SAKNAS,
P-18-1,P-18-1.webp,HUAWEI öppna hörlurar (ljusblå),1,finns,"Öppna hörlurar i ljusblått laddfodral, öronsnäckorna synliga"
P-18-2,P-18-2.webp,HUAWEI öppna hörlurar (ljusblå),2,finns,"Huawei laddfodral i ljusblått, stängt och sett framifrån"
P-18-3,P-18-3.jpg,HUAWEI öppna hörlurar (ljusblå),3,ledig,
P-16-1,P-16-1.jpg,LENCENT Reseadapter Sverige till Storbritannien,1,SAKNAS,
P-17-1,P-17-1.jpg,"Ocetea USB-C till USB-C 100W, 30 cm",1,SAKNAS,
P-19-1,P-19-1.webp,UGREEN snabbladdare USB-C,1,finns,"UGREEN väggladdare med USB-A och två USB-C-portar, kabel ansluten"
P-19-2,P-19-2.jpg,UGREEN snabbladdare USB-C,2,ledig,
P-22-1,P-22-1-B08D6NCQ1Z.webp,"UGREEN USB-C-kabel 100 W, flätad",1,finns,"Flätad USB-C-kabel från UGREEN, hoprullad på ett bord."
P-22-2,P-22-2.jpg,"UGREEN USB-C-kabel 100 W, flätad",2,ledig,
P-23-1,P-23-1.jpg,UGREEN USB-C-kabel 240 W med display,1,SAKNAS,
