nr,kod,bilder,asin,namn,varumarke,id,kategori,prisniva,agd,testad,verifierad,kalla,anteckning
1,P-01,3,B0CFDPQXN4,Anker MagGo Powerbank 10000 mAh,Anker,anker-maggo-powerbank-10000,laddning-och-strom,premium,ja,ja,ja,https://www.amazon.se/Anker-powerbank-10000mAh-display-stativ/dp/B0CFDPQXN4,
2,P-02,2,B0DMT6FMT7,INIU Magnetisk Powerbank 10000 mAh,INIU,iniu-magnetisk-powerbank-10000,laddning-och-strom,mid,ja,nej,ja,https://www.amazon.se/INIU-Magnetiskt-Powerbank-Qi2-certifierad-Snabbladdning/dp/B0DMT6FMT7,
3,P-03,2,B0DSPX4RQ5,UGREEN Nexode Powerbank 25000 mAh 165 W,UGREEN,ugreen-nexode-powerbank-25000,laddning-och-strom,premium,ja,nej,ja,https://www.amazon.se/UGREEN-Nexode-Powerbank-25000mAh-inbyggda/dp/B0DSPX4RQ5,
4,P-04,2,B0CH33F5P2,UGREEN Zapix Magnetisk Powerbank 10000 mAh,UGREEN,ugreen-zapix-powerbank-10000,laddning-och-strom,mid,ja,ja,ja,https://www.amazon.se/dp/B0CH33F5P2,
5,P-05,0,,Baseus MagPro magnetisk bilhållare,Baseus,baseus-magpro-bilhallare,hallare-och-ordning,mid,ja,nej,nej,,
6,P-06,0,,Cooper MagStand höjdjusterbart stativ,Cooper,cooper-magstand-skrivbordsstall,hallare-och-ordning,budget,ja,nej,nej,,
7,P-07,1,,Vikbart magnetiskt mobilstativ,OKÄNT,magnetiskt-stativ-vikbart,hallare-och-ordning,mid,ja,nej,nej,,
8,P-08,0,,"simarro självhäftande magnetringar, 10-pack",simarro,simarro-magnetringar,hallare-och-ordning,budget,ja,nej,nej,,
9,P-09,0,B0B9X1RY8G,UGREEN MagFlow 2-i-1 magnetiskt laddställ,UGREEN,ugreen-magflow-2i1,hallare-och-ordning,mid,ja,nej,nej,https://www.amazon.se/dp/B0B9X1RY8G,
10,P-10,0,B0CMHT5LZ5,UGREEN MagSafe magnetställ för bord,UGREEN,ugreen-magsafe-magnetstall,hallare-och-ordning,mid,ja,nej,nej,https://www.amazon.se/dp/B0CMHT5LZ5,
11,P-11,1,B09LLRNGSD,Anker 735 Nano II 65W,Anker,anker-735-nano-ii-65w,laddning-och-strom,mid,ja,ja,nej,https://www.amazon.se/dp/B09LLRNGSD,
12,P-12,0,B0DR2V76JV,Anker Nano Reseadapter,Anker,anker-nano-reseadapter,laddning-och-strom,mid,ja,nej,nej,https://www.amazon.se/dp/B0DR2V76JV,
13,P-13,0,B0DM22GCLQ,Baseus USB-C-kabel med digital skärm 100W,Baseus,baseus-usb-c-kabel-digital-100w,laddning-och-strom,budget,ja,nej,nej,https://www.amazon.se/dp/B0DM22GCLQ,
14,P-14,1,,EasyAcc bordsfläkt 4000 mAh,EasyAcc,easyacc-bordsflakt,laddning-och-strom,mid,ja,nej,nej,,
15,P-15,0,B0C8FL2QYZ,"GIANAC USB-C till USB-C 100W, 3 m",GIANAC,gianac-usb-c-kabel-100w-3m,laddning-och-strom,budget,ja,nej,nej,https://www.amazon.se/dp/B0C8FL2QYZ,
16,P-18,2,,HUAWEI öppna hörlurar (ljusblå),HUAWEI,horlurar-oppna-bla,laddning-och-strom,mid,ja,nej,nej,,
17,P-16,0,,LENCENT Reseadapter Sverige till Storbritannien,LENCENT,lencent-reseadapter-uk,laddning-och-strom,budget,ja,nej,nej,,
18,P-17,0,B0BJYW2FKG,"Ocetea USB-C till USB-C 100W, 30 cm",Ocetea,ocetea-usb-c-kabel-30cm,laddning-och-strom,budget,ja,nej,nej,https://www.amazon.se/dp/B0BJYW2FKG,
19,P-21,0,B0B3D9XW8X,"UGREEN billaddare, 3 portar",UGREEN,ugreen-billaddare-100w,laddning-och-strom,mid,ja,nej,nej,https://www.amazon.se/dp/B0B3D9XW8X,
20,P-19,1,,UGREEN snabbladdare USB-C,UGREEN,ugreen-snabbladdare,laddning-och-strom,mid,ja,nej,nej,,
21,P-22,0,B08D6NCQ1Z,"UGREEN USB-C-kabel 100 W, flätad",UGREEN,ugreen-usb-c-kabel-100w,laddning-och-strom,budget,ja,nej,nej,https://www.amazon.se/dp/B08D6NCQ1Z,
22,P-23,0,B0F62S8P1T,UGREEN USB-C-kabel 240 W med display,UGREEN,ugreen-usb-c-kabel-240w-display,laddning-och-strom,mid,ja,nej,nej,https://www.amazon.se/dp/B0F62S8P1T,
23,P-20,1,B0GV79Z1W6,"UGREEN USB-C 240W / 40 Gbps, 1 m",UGREEN,ugreen-usb4-kabel-240w,laddning-och-strom,mid,ja,nej,nej,https://www.amazon.se/dp/B0GV79Z1W6,
